"displayName","userPrincipalName","accountEnabled","department","jobTitle","createdDateTime"
"Angela Morris","amorris@justingallimoregmail.onmicrosoft.com","True","HR","HR Generalist","2026-05-05T04:38:16Z"
"David Kim","dkim@justingallimoregmail.onmicrosoft.com","True","Finance","Financial Analyst","2026-05-05T04:38:15Z"
"James Carter","jcarter@justingallimoregmail.onmicrosoft.com","True","Engineering","Software Engineer","2026-05-05T04:38:15Z"
"Justin Gallimore","justingallimore_gmail.com#EXT#@justingallimoregmail.onmicrosoft.com","True",,,"2026-05-05T03:04:07Z"
"Kevin Brown","kbrown@justingallimoregmail.onmicrosoft.com","True","HR","HR Manager","2026-05-05T04:38:16Z"
"Lisa Turner","lturner@justingallimoregmail.onmicrosoft.com","False","HR","Recruiter","2026-05-05T04:38:17Z"
"Marcus Davis","mdavis@justingallimoregmail.onmicrosoft.com","True","IT","IAM Engineer","2026-05-05T04:38:17Z"
"Maria Lopez","mlopez@justingallimoregmail.onmicrosoft.com","True","Engineering","DevOps Engineer","2026-05-05T04:38:15Z"
"Priya Patel","ppatel@justingallimoregmail.onmicrosoft.com","True","IT","Systems Administrator","2026-05-05T04:38:17Z"
"Robert Chen","rchen@justingallimoregmail.onmicrosoft.com","False","Finance","Senior Accountant","2026-05-05T04:38:16Z"
"Sarah Johnson","sjohnson@justingallimoregmail.onmicrosoft.com","False","Finance","Accounts Manager","2026-05-05T04:38:16Z"
